"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.330884208E0,-1.940441132E1,1.609133911E1,-4.905372620E1,5.515188507E1
2.340931208E0,-1.929270935E1,1.582962418E1,-4.907001114E1,5.505135447E1
2.350979208E0,-1.928068542E1,1.573509598E1,-4.925650406E1,5.518642286E1
2.361026208E0,-1.917360687E1,1.553987885E1,-4.929646301E1,5.512945039E1
2.371073208E0,-1.898037338E1,1.517790699E1,-4.946277618E1,5.511070370E1
2.381121208E0,-1.895078659E1,1.488614845E1,-4.979438400E1,5.531916853E1
2.391168208E0,-1.878992462E1,1.467587471E1,-4.970146561E1,5.512420747E1
2.401215208E0,-1.850086975E1,1.460194683E1,-4.996356583E1,5.524361450E1
2.411262208E0,-1.810771561E1,1.440858650E1,-5.027897644E1,5.534864227E1
2.421310208E0,-1.760570145E1,1.430459595E1,-5.027571106E1,5.515640771E1
2.431357208E0,-1.713272476E1,1.417439747E1,-5.073446274E1,5.539340674E1
2.441404208E0,-1.674238205E1,1.416281986E1,-5.071001053E1,5.524851121E1
2.451452208E0,-1.639907074E1,1.401923180E1,-5.094455719E1,5.532464450E1
2.461499208E0,-1.609436035E1,1.374745941E1,-5.116124344E1,5.536690262E1
2.471546208E0,-1.589089203E1,1.364637947E1,-5.109599304E1,5.522268218E1
2.481593208E0,-1.583684540E1,1.349844170E1,-5.129010010E1,5.535059140E1
2.491641208E0,-1.547274399E1,1.325614834E1,-5.144888306E1,5.533641516E1
2.501688208E0,-1.538066483E1,1.320023346E1,-5.167481995E1,5.550763939E1
2.511735208E0,-1.510113144E1,1.277923870E1,-5.186367416E1,5.550850214E1
2.521783208E0,-1.501033020E1,1.250018787E1,-5.193306732E1,5.548520696E1
2.531830208E0,-1.446526718E1,1.226086998E1,-5.211733246E1,5.545979832E1
2.541877208E0,-1.406126404E1,1.174576950E1,-5.245930099E1,5.556672123E1
2.551924208E0,-1.386472702E1,1.151455688E1,-5.251598740E1,5.552246940E1
2.561972208E0,-1.371039581E1,1.121688557E1,-5.263146591E1,5.553255513E1
2.572019208E0,-1.360208893E1,1.097558594E1,-5.261152267E1,5.543872859E1
2.582066208E0,-1.350873566E1,1.085293007E1,-5.283918762E1,5.560801901E1
2.592114208E0,-1.355700684E1,1.059186363E1,-5.293704605E1,5.566247258E1
2.602161208E0,-1.339367676E1,1.016996384E1,-5.296222305E1,5.556811867E1
2.612208208E0,-1.353226089E1,9.831174850E0,-5.305099869E1,5.562537681E1
2.622255208E0,-1.343734741E1,9.373628616E0,-5.294585037E1,5.542283185E1
2.632303208E0,-1.346394348E1,8.856511116E0,-5.298020935E1,5.537705433E1
2.642350208E0,-1.341454315E1,8.650693893E0,-5.299036789E1,5.534224030E1
2.652397333E0,-1.351944733E1,8.266994476E0,-5.301778793E1,5.533538191E1
2.662445333E0,-1.351720047E1,7.831085682E0,-5.312039948E1,5.536982438E1
2.672492333E0,-1.366529083E1,7.640827179E0,-5.323493195E1,5.548946200E1
2.682539333E0,-1.389921951E1,7.230488777E0,-5.317550659E1,5.543557317E1
2.692586333E0,-1.405546188E1,6.648113728E0,-5.300911331E1,5.524237069E1
2.702634333E0,-1.442208481E1,6.333917618E0,-5.300167465E1,5.529278939E1
2.712681333E0,-1.468534470E1,5.950374126E0,-5.298183060E1,5.530045818E1
2.722728333E0,-1.496181107E1,5.463247299E0,-5.309983826E1,5.543731311E1
2.732776333E0,-1.520095062E1,5.036785126E0,-5.290949249E1,5.527976574E1
2.742823333E0,-1.531449890E1,4.580190182E0,-5.307004929E1,5.542510397E1
2.752870333E0,-1.520930862E1,4.230510712E0,-5.323196793E1,5.552353284E1
2.762917333E0,-1.524762726E1,3.926357746E0,-5.313576889E1,5.541945830E1
2.772965333E0,-1.522337341E1,3.608657837E0,-5.300601196E1,5.526672429E1
2.783012333E0,-1.520451736E1,3.208375931E0,-5.300027847E1,5.523133660E1
2.793059333E0,-1.532814407E1,2.832009792E0,-5.293248367E1,5.517988862E1
2.803107333E0,-1.553456879E1,2.727217197E0,-5.289896774E1,5.520019320E1
2.813154333E0,-1.571632004E1,2.738425732E0,-5.280495834E1,5.516217288E1
2.823201333E0,-1.591107941E1,2.881896973E0,-5.277936935E1,5.520081166E1
2.833248333E0,-1.619869232E1,3.094744682E0,-5.291474915E1,5.542513649E1
2.843296333E0,-1.638747406E1,3.273903370E0,-5.279579544E1,5.537746623E1
2.853343333E0,-1.647439957E1,3.215853691E0,-5.267176437E1,5.528166349E1
2.863390333E0,-1.688679886E1,3.273703098E0,-5.255927658E1,5.530242908E1
2.873437333E0,-1.727963638E1,3.086453438E0,-5.250459671E1,5.536103959E1
2.883485333E0,-1.759264374E1,2.877127171E0,-5.245651627E1,5.540275330E1
2.893532333E0,-1.793170547E1,2.388050079E0,-5.210170746E1,5.515284911E1
2.903579333E0,-1.835845947E1,1.774270535E0,-5.198431778E1,5.515931803E1
2.913627333E0,-1.892827988E1,1.573952198E0,-5.181979752E1,5.519101846E1
2.923674333E0,-1.946403503E1,1.359541893E0,-5.178269958E1,5.533665142E1
2.933721333E0,-1.967235947E1,1.209520817E0,-5.141648865E1,5.506468898E1
2.943768333E0,-1.984959030E1,1.072356224E0,-5.130939865E1,5.502554473E1
2.953816333E0,-1.996131134E1,1.012839317E0,-5.129361343E1,5.505010965E1
2.963863333E0,-2.004464340E1,9.474115372E-1,-5.124417877E1,5.503318250E1
2.973910333E0,-2.021939468E1,9.635796547E-1,-5.114181137E1,5.500215703E1
2.983958333E0,-2.058808517E1,1.207383156E0,-5.115112305E1,5.515219319E1
2.994005333E0,-2.101428604E1,1.180285454E0,-5.077411652E1,5.496366254E1
3.004052333E0,-2.134737015E1,1.064253807E0,-5.049412537E1,5.483155610E1
3.014099333E0,-2.180229568E1,1.239703655E0,-5.026068497E1,5.479975744E1
3.024147333E0,-2.217428207E1,1.296351910E0,-5.006858063E1,5.477446558E1
3.034194333E0,-2.234819412E1,1.282226086E0,-5.005326843E1,5.483079030E1
3.044241333E0,-2.265158463E1,1.458712578E0,-4.999462509E1,5.490614416E1
3.054289333E0,-2.312371445E1,1.595495224E0,-4.959624481E1,5.474522147E1
3.064336333E0,-2.373615265E1,1.935914040E0,-4.934419632E1,5.479053218E1
3.074383333E0,-2.418161392E1,2.164075851E0,-4.931432343E1,5.496668237E1
3.084430333E0,-2.467036819E1,2.079649448E0,-4.895082474E1,5.485558541E1
3.094478333E0,-2.500640869E1,1.974503994E0,-4.856378174E1,5.465949175E1
3.104525333E0,-2.545909882E1,1.900380135E0,-4.829970932E1,5.463185039E1
3.114572333E0,-2.590974426E1,1.654370308E0,-4.811217117E1,5.467021862E1
3.124619333E0,-2.609114075E1,1.123742580E0,-4.790537262E1,5.456129717E1
3.134667333E0,-2.610831833E1,6.305480003E-1,-4.782678986E1,5.449260229E1
